labels,features
action,action
action,fight
action,strike
action,litigate
action,activeness
adventure,venture
adventure,jeopardize
adventure,escapade
adventure,adventure
adventure,hazard
animation,life
animation,invigoration
animation,animation
animation,spiritedness
animation,aliveness
animation,vitality
comedy,drollery
comedy,comedy
comedy,funniness
comedy,clowning
comedy,funny
crime,crime
crime,offence
crime,scandal
crime,criminal
crime,felony
crime,corruption
documentary,docudrama
documentary,documental
documentary,infotainment
documentary,objective
documentary,documentary
drama,tragic
drama,drama
drama,tragedy
drama,dramatic
drama,melodrama
drama,theater
family,household
family,folk
family,kinsfolk
family,house
family,family
fantasy,fantasize
fantasy,illusion
fantasy,fantasise
fantasy,fantasy
fantasy,fancy
fantasy,phantasy
fiction,fiction
fiction,fabrication
fiction,fable
foreign,alien
foreign,strange
foreign,extraneous
foreign,foreign
history,chronicle
history,story
history,account
history,history
horror,repugnance
horror,repulsion
horror,horror
horror,revulsion
horror,scary
movie,flick
movie,picture
movie,film
movie,movie
movie,pic
music,medicine
music,music
music,euphony
mystery,mystery
mystery,whodunit
mystery,secret
mystery,enigma
romance,romanticism
romance,romance
romance,solicit
romance,romantic
romance,flirt
science,skill
science,science
science,intelligence
science,technology
science,tech
tv,telly
tv,TV
tv,tv
tv,video
tv,television
tv,telecasting
thriller,thriller
thriller,suspense
thriller,nailbiter
thriller,cliffhanger
thriller,squeaker
war,war
war,warfare
war,battle
war,combat
war,conflict
war,bloodshed
western,Western
western,western
western,westerly
